2026-03-18 12:26:18 | INFO     | flink_speed_layer         | Khởi động Flink Speed Layer...
2026-03-18 12:26:19 | INFO     | flink_speed_layer         | Đã khởi tạo StreamExecutionEnvironment với JAR và Checkpoint.
2026-03-18 12:26:20 | INFO     | flink_speed_layer         | Pipeline sẵn sàng | Source: traffic-raw | Sink: traffic-processed | Window: 30s
2026-03-18 12:26:31 | INFO     | flink_speed_layer         | [Cau Giay] NORMAL | Avg: 39.13 km/h | Xe: 210 | Window: 2026-03-18T12:26:00 → 2026-03-18T12:26:30
2026-03-18 12:26:31 | INFO     | flink_speed_layer         | [Nga Tu So] NORMAL | Avg: 38.06 km/h | Xe: 174 | Window: 2026-03-18T12:26:00 → 2026-03-18T12:26:30
2026-03-18 12:26:31 | INFO     | flink_speed_layer         | [Ha Dong] NORMAL | Avg: 38.91 km/h | Xe: 232 | Window: 2026-03-18T12:26:00 → 2026-03-18T12:26:30
2026-03-18 12:26:31 | INFO     | flink_speed_layer         | [Hoan Kiem] NORMAL | Avg: 33.61 km/h | Xe: 224 | Window: 2026-03-18T12:26:00 → 2026-03-18T12:26:30
2026-03-18 12:26:31 | INFO     | flink_speed_layer         | [Ba Dinh] NORMAL | Avg: 43.27 km/h | Xe: 257 | Window: 2026-03-18T12:26:00 → 2026-03-18T12:26:30
2026-03-18 12:27:01 | INFO     | flink_speed_layer         | [Cau Giay] NORMAL | Avg: 32.76 km/h | Xe: 863 | Window: 2026-03-18T12:26:30 → 2026-03-18T12:27:00
2026-03-18 12:27:01 | INFO     | flink_speed_layer         | [Nga Tu So] NORMAL | Avg: 37.09 km/h | Xe: 715 | Window: 2026-03-18T12:26:30 → 2026-03-18T12:27:00
2026-03-18 12:27:01 | INFO     | flink_speed_layer         | [Hoan Kiem] NORMAL | Avg: 34.1 km/h | Xe: 1006 | Window: 2026-03-18T12:26:30 → 2026-03-18T12:27:00
2026-03-18 12:27:01 | INFO     | flink_speed_layer         | [Ha Dong] NORMAL | Avg: 41.54 km/h | Xe: 799 | Window: 2026-03-18T12:26:30 → 2026-03-18T12:27:00
2026-03-18 12:27:01 | INFO     | flink_speed_layer         | [Ba Dinh] NORMAL | Avg: 33.45 km/h | Xe: 853 | Window: 2026-03-18T12:26:30 → 2026-03-18T12:27:00
2026-03-18 12:27:31 | INFO     | flink_speed_layer         | [Cau Giay] NORMAL | Avg: 33.22 km/h | Xe: 753 | Window: 2026-03-18T12:27:00 → 2026-03-18T12:27:30
2026-03-18 12:27:31 | INFO     | flink_speed_layer         | [Nga Tu So] NORMAL | Avg: 38.19 km/h | Xe: 786 | Window: 2026-03-18T12:27:00 → 2026-03-18T12:27:30
2026-03-18 12:27:31 | INFO     | flink_speed_layer         | [Ha Dong] NORMAL | Avg: 37.1 km/h | Xe: 904 | Window: 2026-03-18T12:27:00 → 2026-03-18T12:27:30
2026-03-18 12:27:31 | INFO     | flink_speed_layer         | [Hoan Kiem] NORMAL | Avg: 34.6 km/h | Xe: 1000 | Window: 2026-03-18T12:27:00 → 2026-03-18T12:27:30
2026-03-18 12:27:31 | INFO     | flink_speed_layer         | [Ba Dinh] NORMAL | Avg: 31.4 km/h | Xe: 899 | Window: 2026-03-18T12:27:00 → 2026-03-18T12:27:30
2026-03-18 12:28:01 | INFO     | flink_speed_layer         | [Cau Giay] NORMAL | Avg: 35.58 km/h | Xe: 603 | Window: 2026-03-18T12:27:30 → 2026-03-18T12:28:00
2026-03-18 12:28:01 | INFO     | flink_speed_layer         | [Nga Tu So] NORMAL | Avg: 41.8 km/h | Xe: 1019 | Window: 2026-03-18T12:27:30 → 2026-03-18T12:28:00
2026-03-18 12:28:01 | INFO     | flink_speed_layer         | [Ha Dong] NORMAL | Avg: 36.3 km/h | Xe: 858 | Window: 2026-03-18T12:27:30 → 2026-03-18T12:28:00
2026-03-18 12:28:01 | INFO     | flink_speed_layer         | [Hoan Kiem] NORMAL | Avg: 31.33 km/h | Xe: 816 | Window: 2026-03-18T12:27:30 → 2026-03-18T12:28:00
2026-03-18 12:28:01 | INFO     | flink_speed_layer         | [Ba Dinh] NORMAL | Avg: 29.04 km/h | Xe: 927 | Window: 2026-03-18T12:27:30 → 2026-03-18T12:28:00
2026-03-18 12:28:31 | INFO     | flink_speed_layer         | [Cau Giay] NORMAL | Avg: 33.36 km/h | Xe: 754 | Window: 2026-03-18T12:28:00 → 2026-03-18T12:28:30
2026-03-18 12:28:31 | INFO     | flink_speed_layer         | [Nga Tu So] NORMAL | Avg: 39.99 km/h | Xe: 1040 | Window: 2026-03-18T12:28:00 → 2026-03-18T12:28:30
2026-03-18 12:28:31 | INFO     | flink_speed_layer         | [Ha Dong] NORMAL | Avg: 31.45 km/h | Xe: 1021 | Window: 2026-03-18T12:28:00 → 2026-03-18T12:28:30
2026-03-18 12:28:31 | INFO     | flink_speed_layer         | [Hoan Kiem] NORMAL | Avg: 35.35 km/h | Xe: 868 | Window: 2026-03-18T12:28:00 → 2026-03-18T12:28:30
2026-03-18 12:28:31 | INFO     | flink_speed_layer         | [Ba Dinh] NORMAL | Avg: 34.22 km/h | Xe: 839 | Window: 2026-03-18T12:28:00 → 2026-03-18T12:28:30
2026-03-18 12:29:01 | INFO     | flink_speed_layer         | [Nga Tu So] NORMAL | Avg: 31.68 km/h | Xe: 824 | Window: 2026-03-18T12:28:30 → 2026-03-18T12:29:00
2026-03-18 12:29:01 | INFO     | flink_speed_layer         | [Cau Giay] NORMAL | Avg: 37.35 km/h | Xe: 825 | Window: 2026-03-18T12:28:30 → 2026-03-18T12:29:00
2026-03-18 12:29:01 | INFO     | flink_speed_layer         | [Ha Dong] NORMAL | Avg: 43.32 km/h | Xe: 862 | Window: 2026-03-18T12:28:30 → 2026-03-18T12:29:00
2026-03-18 12:29:01 | INFO     | flink_speed_layer         | [Hoan Kiem] NORMAL | Avg: 30.75 km/h | Xe: 784 | Window: 2026-03-18T12:28:30 → 2026-03-18T12:29:00
2026-03-18 12:29:01 | INFO     | flink_speed_layer         | [Ba Dinh] NORMAL | Avg: 31.11 km/h | Xe: 708 | Window: 2026-03-18T12:28:30 → 2026-03-18T12:29:00
2026-03-18 12:29:31 | INFO     | flink_speed_layer         | [Nga Tu So] NORMAL | Avg: 32.49 km/h | Xe: 751 | Window: 2026-03-18T12:29:00 → 2026-03-18T12:29:30
2026-03-18 12:29:31 | INFO     | flink_speed_layer         | [Cau Giay] NORMAL | Avg: 31.09 km/h | Xe: 729 | Window: 2026-03-18T12:29:00 → 2026-03-18T12:29:30
2026-03-18 12:29:31 | INFO     | flink_speed_layer         | [Hoan Kiem] NORMAL | Avg: 36.58 km/h | Xe: 861 | Window: 2026-03-18T12:29:00 → 2026-03-18T12:29:30
2026-03-18 12:29:31 | INFO     | flink_speed_layer         | [Ha Dong] NORMAL | Avg: 29.87 km/h | Xe: 768 | Window: 2026-03-18T12:29:00 → 2026-03-18T12:29:30
2026-03-18 12:29:31 | INFO     | flink_speed_layer         | [Ba Dinh] NORMAL | Avg: 37.05 km/h | Xe: 776 | Window: 2026-03-18T12:29:00 → 2026-03-18T12:29:30
2026-03-18 12:30:01 | INFO     | flink_speed_layer         | [Nga Tu So] NORMAL | Avg: 34.84 km/h | Xe: 908 | Window: 2026-03-18T12:29:30 → 2026-03-18T12:30:00
2026-03-18 12:30:01 | INFO     | flink_speed_layer         | [Cau Giay] NORMAL | Avg: 28.12 km/h | Xe: 1014 | Window: 2026-03-18T12:29:30 → 2026-03-18T12:30:00
