2026-03-18 12:27:45 | INFO     | kafka_to_elasticsearch    | ============================================================
2026-03-18 12:27:45 | INFO     | kafka_to_elasticsearch    | Khởi động Kafka → Elasticsearch Sink
2026-03-18 12:27:45 | INFO     | kafka_to_elasticsearch    |   ES URL  : http://localhost:9200
2026-03-18 12:27:45 | INFO     | kafka_to_elasticsearch    |   ES Index: traffic-realtime
2026-03-18 12:27:45 | INFO     | kafka_to_elasticsearch    |   Kafka   : traffic-processed
2026-03-18 12:27:45 | INFO     | kafka_to_elasticsearch    |   Batch   : 50 docs | Flush: 10s
2026-03-18 12:27:45 | INFO     | kafka_to_elasticsearch    | ============================================================
2026-03-18 12:27:45 | INFO     | kafka_to_elasticsearch    | Kết nối Elasticsearch tại http://localhost:9200
2026-03-18 12:27:45 | INFO     | kafka_to_elasticsearch    | Kafka consumer: group=es-sink-group | topic=traffic-processed
2026-03-18 12:27:45 | INFO     | kafka_to_elasticsearch    | Elasticsearch ping OK ✓
2026-03-18 12:27:45 | INFO     | kafka_to_elasticsearch    | Đã tạo index 'traffic-realtime' với mapping (geo_point, keyword, float, date...)
2026-03-18 12:27:45 | INFO     | kafka_to_elasticsearch    | Bắt đầu consume từ topic 'traffic-processed' → ES index 'traffic-realtime'
2026-03-18 12:28:01 | INFO     | kafka_to_elasticsearch    | Bulk index thành công 1 documents vào 'traffic-realtime'
2026-03-18 12:28:11 | INFO     | kafka_to_elasticsearch    | Bulk index thành công 4 documents vào 'traffic-realtime'
2026-03-18 12:28:31 | INFO     | kafka_to_elasticsearch    | Bulk index thành công 1 documents vào 'traffic-realtime'
2026-03-18 12:28:41 | INFO     | kafka_to_elasticsearch    | Bulk index thành công 4 documents vào 'traffic-realtime'
2026-03-18 12:29:01 | INFO     | kafka_to_elasticsearch    | Bulk index thành công 1 documents vào 'traffic-realtime'
2026-03-18 12:29:11 | INFO     | kafka_to_elasticsearch    | Bulk index thành công 4 documents vào 'traffic-realtime'
2026-03-18 12:29:31 | INFO     | kafka_to_elasticsearch    | Bulk index thành công 1 documents vào 'traffic-realtime'
2026-03-18 12:29:41 | INFO     | kafka_to_elasticsearch    | Bulk index thành công 4 documents vào 'traffic-realtime'
2026-03-18 12:30:01 | INFO     | kafka_to_elasticsearch    | Bulk index thành công 1 documents vào 'traffic-realtime'
2026-03-18 12:30:11 | INFO     | kafka_to_elasticsearch    | Bulk index thành công 4 documents vào 'traffic-realtime'
2026-03-18 12:30:31 | INFO     | kafka_to_elasticsearch    | Bulk index thành công 1 documents vào 'traffic-realtime'
2026-03-18 12:30:41 | INFO     | kafka_to_elasticsearch    | Bulk index thành công 4 documents vào 'traffic-realtime'
2026-03-18 12:31:01 | INFO     | kafka_to_elasticsearch    | Bulk index thành công 1 documents vào 'traffic-realtime'
2026-03-18 12:31:11 | INFO     | kafka_to_elasticsearch    | Bulk index thành công 4 documents vào 'traffic-realtime'
2026-03-18 12:31:30 | INFO     | kafka_to_elasticsearch    | Bulk index thành công 1 documents vào 'traffic-realtime'
2026-03-18 12:31:40 | INFO     | kafka_to_elasticsearch    | Bulk index thành công 4 documents vào 'traffic-realtime'
2026-03-18 12:32:01 | INFO     | kafka_to_elasticsearch    | Bulk index thành công 1 documents vào 'traffic-realtime'
2026-03-18 12:32:11 | INFO     | kafka_to_elasticsearch    | Bulk index thành công 4 documents vào 'traffic-realtime'
2026-03-18 12:32:30 | INFO     | kafka_to_elasticsearch    | Bulk index thành công 1 documents vào 'traffic-realtime'
2026-03-18 12:32:40 | INFO     | kafka_to_elasticsearch    | Bulk index thành công 4 documents vào 'traffic-realtime'
2026-03-18 12:33:01 | INFO     | kafka_to_elasticsearch    | Bulk index thành công 1 documents vào 'traffic-realtime'
2026-03-18 12:33:11 | INFO     | kafka_to_elasticsearch    | Bulk index thành công 4 documents vào 'traffic-realtime'
2026-03-18 12:33:30 | INFO     | kafka_to_elasticsearch    | Bulk index thành công 1 documents vào 'traffic-realtime'
2026-03-18 12:33:41 | INFO     | kafka_to_elasticsearch    | Bulk index thành công 4 documents vào 'traffic-realtime'
2026-03-18 12:34:01 | INFO     | kafka_to_elasticsearch    | Bulk index thành công 1 documents vào 'traffic-realtime'
2026-03-18 12:34:11 | INFO     | kafka_to_elasticsearch    | Bulk index thành công 4 documents vào 'traffic-realtime'
2026-03-18 12:34:31 | INFO     | kafka_to_elasticsearch    | Bulk index thành công 1 documents vào 'traffic-realtime'
2026-03-18 12:34:41 | INFO     | kafka_to_elasticsearch    | Bulk index thành công 4 documents vào 'traffic-realtime'
2026-03-18 12:35:00 | INFO     | kafka_to_elasticsearch    | Bulk index thành công 1 documents vào 'traffic-realtime'
2026-03-18 12:35:10 | INFO     | kafka_to_elasticsearch    | Bulk index thành công 4 documents vào 'traffic-realtime'
2026-03-18 12:35:31 | INFO     | kafka_to_elasticsearch    | Bulk index thành công 1 documents vào 'traffic-realtime'
2026-03-18 12:35:41 | INFO     | kafka_to_elasticsearch    | Bulk index thành công 4 documents vào 'traffic-realtime'
2026-03-18 12:36:00 | INFO     | kafka_to_elasticsearch    | Bulk index thành công 1 documents vào 'traffic-realtime'
2026-03-18 12:36:10 | INFO     | kafka_to_elasticsearch    | Bulk index thành công 4 documents vào 'traffic-realtime'
2026-03-18 12:36:31 | INFO     | kafka_to_elasticsearch    | Bulk index thành công 1 documents vào 'traffic-realtime'
2026-03-18 12:36:41 | INFO     | kafka_to_elasticsearch    | Bulk index thành công 4 documents vào 'traffic-realtime'
2026-03-18 12:37:01 | INFO     | kafka_to_elasticsearch    | Bulk index thành công 1 documents vào 'traffic-realtime'
2026-03-18 12:37:11 | INFO     | kafka_to_elasticsearch    | Bulk index thành công 4 documents vào 'traffic-realtime'
2026-03-18 13:27:13 | INFO     | kafka_to_elasticsearch    | ============================================================
2026-03-18 13:27:13 | INFO     | kafka_to_elasticsearch    | Khởi động Kafka → Elasticsearch Sink
2026-03-18 13:27:13 | INFO     | kafka_to_elasticsearch    |   ES URL  : http://localhost:9200
2026-03-18 13:27:13 | INFO     | kafka_to_elasticsearch    |   ES Index: traffic-realtime
